time,v_perp,v_para,pitch_angle,v_perp_eV,v_para_eV
271.502,4505.41,60497.3,4.25912,1.62169,292.395
271.513,4504.8,60497.3,4.25854,1.62125,292.396
271.524,4504.19,60497.4,4.25797,1.62081,292.396
271.535,4503.58,60497.4,4.25739,1.62037,292.397
271.546,4502.97,60497.5,4.25681,1.61993,292.397
271.557,4502.36,60497.5,4.25623,1.61949,292.398
271.568,4501.75,60497.6,4.25566,1.61906,292.398
271.579,4501.14,60497.6,4.25508,1.61862,292.398
271.59,4500.53,60497.7,4.2545,1.61818,292.399
271.601,4499.92,60497.7,4.25393,1.61774,292.399
271.612,4499.31,60497.7,4.25335,1.6173,292.4
271.623,4498.71,60497.8,4.25277,1.61686,292.4
271.634,4498.1,60497.8,4.25219,1.61643,292.401
271.645,4497.49,60497.9,4.25162,1.61599,292.401
271.656,4496.88,60497.9,4.25104,1.61555,292.402
271.667,4496.27,60498,4.25046,1.61511,292.402
271.678,4495.66,60498,4.24989,1.61468,292.402
271.689,4495.05,60498.1,4.24931,1.61424,292.403
271.7,4494.44,60498.1,4.24874,1.6138,292.403
271.711,4493.83,60498.2,4.24816,1.61337,292.404
271.722,4493.23,60498.2,4.24758,1.61293,292.404
271.733,4492.62,60498.2,4.24701,1.61249,292.405
271.744,4492.01,60498.3,4.24643,1.61206,292.405
271.755,4491.4,60498.3,4.24585,1.61162,292.405
271.766,4490.79,60498.4,4.24528,1.61118,292.406
271.777,4490.19,60498.4,4.2447,1.61075,292.406
271.788,4489.58,60498.5,4.24413,1.61031,292.407
271.799,4488.97,60498.5,4.24355,1.60987,292.407
271.81,4488.36,60498.6,4.24298,1.60944,292.408
271.821,4487.75,60498.6,4.2424,1.609,292.408
271.832,4487.15,60498.7,4.24182,1.60857,292.409
271.843,4486.54,60498.7,4.24125,1.60813,292.409
271.854,4485.93,60498.7,4.24067,1.6077,292.409
271.865,4485.32,60498.8,4.2401,1.60726,292.41
271.876,4484.72,60498.8,4.23952,1.60683,292.41
271.887,4484.11,60498.9,4.23895,1.60639,292.411
271.898,4483.5,60498.9,4.23837,1.60596,292.411
271.909,4482.9,60499,4.2378,1.60552,292.412
271.92,4482.29,60499,4.23722,1.60509,292.412
271.931,4481.68,60499.1,4.23665,1.60465,292.412
271.942,4481.08,60499.1,4.23607,1.60422,292.413
271.953,4480.47,60499.1,4.2355,1.60378,292.413
271.964,4479.86,60499.2,4.23493,1.60335,292.414
